"","CSF-cN","Excit-01","Excit-02","Excit-03","Excit-04","Excit-05","Excit-06","Excit-07","Excit-08","Excit-09","Excit-10","Excit-11","Excit-12","Excit-13","Excit-14","Excit-15","Excit-16","Excit-17","Excit-18","Excit-19","Excit-20","Excit-21","Excit-22","Excit-23","Excit-24","Excit-25","Excit-26","Excit-27","Excit-28","Excit-29","Excit-30","Excit-31","Excit-32","Excit-33","Excit-34","Excit-35","Excit-36","Excit-37","Excit-38","Inhib-01","Inhib-02","Inhib-03","Inhib-04","Inhib-05","Inhib-06","Inhib-07","Inhib-08","Inhib-09","Inhib-10","Inhib-11","Inhib-12","Inhib-13","Inhib-14","Inhib-15","Inhib-16","Inhib-17","Inhib-18","Inhib-19","Inhib-20","Inhib-21","Inhib-22","Inhib-23","Inhib-24","Inhib-25","Inhib-26","Inhib-27","MN-alpha","MN-gamma","PGC"
"Inhib-09",0,0,0,0,0,0,0,0,5.42180403135774e-05,0,0,0.000155539928506121,0.000156569994257817,9.2956214003534e-05,0.000148329468244247,8.74882014150909e-05,0.000144209205237463,0.000168930783278171,0,5.41795331826729e-05,5.54695220679746e-05,7.28843720195481e-05,0.000173051046284955,5.15995554120694e-05,6.44994442650868e-05,6.70794220356903e-05,6.44994442650868e-05,5.93394887238798e-05,0,0.000193652361318878,0.000183351703801917,0.000195712492822271,0.000243095517400294,5.41795331826729e-05,0.00017717130929174,0.000370862177741523,0.000178201375043436,0.000103661196394993,0.000211163479097713,5.48245276253238e-05,6.44994442650868e-05,8.20779495230045e-05,5.76933088777112e-05,5.41795331826729e-05,7.22393775768972e-05,0.000164810520271386,6.70794220356903e-05,0.000168930783278171,4.12026300678465e-06,3.85071309045294e-08,6.96593998062937e-05,0,7.61093442328024e-05,0.00013699874497559,0.000156569994257817,0.000173051046284955,7.54643497901515e-05,8.38492775446128e-05,0.000213223610601106,7.73993331181042e-05,0.000266815910037484,0.000206013150339232,0.000173051046284955,5.41795331826729e-05,0.000192622295567182,0.000164810520271386,0.000465589719766665,0.000218373939359586,4.9019577641466e-05
"Inhib-10",5.85190498500188e-07,1.2261966882705e-06,7.26674731762169e-07,1.00964319828613e-06,6.79513320674842e-07,9.15320376111477e-07,9.15320376111477e-07,1.10396602046078e-06,1.39947877734088e-06,1.33977307589742e-06,9.15320376111477e-07,9.04365214660885e-05,8.99154620518304e-05,8.09783548017243e-05,8.51468499648468e-05,7.10580043237985e-05,8.29865606240198e-05,9.74103004126889e-05,1.24545025372277e-06,4.80459071127544e-05,1.44469518334154e-06,6.3592286955622e-05,0.000100742915755603,1.17470813709178e-06,5.61373653581295e-05,5.81243726098861e-05,5.55993362707166e-05,5.2144097289164e-05,3.09101743130659e-06,0.000113093225812939,0.000108480805819619,0.000113443559679001,0.000141069410352664,6.79513320674842e-07,0.000102873352245708,0.000280340262612507,0.000103943553325729,8.84251525293949e-05,0.000122829793159232,4.75205205584049e-05,5.56229169762603e-05,7.09818643218255e-05,4.5079570953383e-06,8.09207201164991e-07,6.23255398886531e-05,9.49862961707902e-05,5.83043639740526e-05,9.7727448870026e-05,3.9573837175693e-06,1.11651031081692e-06,6.08486538786743e-05,1.57200692882696e-06,6.61236936826768e-05,7.96808044610349e-05,9.08928702643901e-05,0.000100430094438357,6.57765941319107e-05,7.28392980153438e-05,0.000123909937829646,6.70839898202853e-05,0.000154824137863221,0.000119080090086506,0.000100335771616183,8.6815896502415e-07,0.000110770378952828,9.55714866692904e-05,0.00034729220842137,0.000127412043494164,1.35469950125829e-06
"Inhib-11",2.56714206030196e-08,0,2.56714206030196e-08,2.56714206030196e-08,2.56714206030196e-08,2.56714206030196e-08,6.0173809893478e-05,2.56714206030196e-08,7.12253564630779e-05,2.56714206030196e-08,2.56714206030196e-08,0.000133760937052034,0.000134646601062838,0.00012055299115178,0.000127561288976405,0.000108461752047758,0.000124018632933188,0.000145274569192488,2.56714206030196e-08,7.11868493321734e-05,7.29581773537818e-05,9.58314131110722e-05,0.000148996925179926,6.77982218125748e-05,8.47670308311708e-05,8.81299869301663e-05,8.47413594105677e-05,7.80154472125766e-05,1.28357103015098e-07,0.000166684533975406,0.000159509371916862,0.000168378847735206,0.000261373568869644,7.11868493321734e-05,0.000152436895540731,0.000399203426087257,0.000153595318395442,0.000129505899087083,0.000181663807897268,7.21110204738821e-05,8.47413594105677e-05,0.000112126347338839,7.48321910578022e-05,7.11868493321734e-05,9.49072419693635e-05,0.000141757584569874,8.81813297713724e-05,0.000145351583454297,5.18947767490042e-05,4.75049638258878e-05,9.1595628711574e-05,5.09192627660894e-05,0.00010006719751057,0.000117870327698765,0.000134723615324647,0.000148894239497514,9.91430263688618e-05,0.000110156065807557,0.000183435135918877,0.000101735839849767,0.000286916632369649,0.000221518688383456,0.000148894239497514,7.11868493321734e-05,0.000165638423585833,0.000141783255990477,0.000500528523207375,0.000187863455972898,6.44609371341823e-05
"Inhib-12",0,0,0,0,0,0,4.23770975604346e-05,0,5.01362844376973e-05,0,0,0.000148271707547891,0.000149253639385956,0.000133542729976908,0.000141398184681432,8.13270604703661e-05,0.00013747045732917,0.000161036821442742,0,5.01362844376973e-05,5.13300054957377e-05,6.74452397792833e-05,0.000164964548795004,4.77488423216165e-05,5.96860529020206e-05,6.20734950181014e-05,5.96860529020206e-05,5.4911168669859e-05,0,0.000184603185556314,0.000174783867175659,0.000186567049232445,0.000231735913783458,5.01362844376973e-05,0.000168892276147266,0.00035349546170358,0.000169874207985332,9.67299128321779e-05,0.000201296026803428,5.07331449667175e-05,5.96860529020206e-05,7.59745692746366e-05,5.34671512609391e-05,5.01362844376973e-05,6.68483792502631e-05,0.00015710909409048,6.20734950181014e-05,0.000161036821442742,3.927727352262e-06,0,6.44609371341823e-05,0,7.04295424243843e-05,0.000130596934462712,0.000149253639385956,0.000164964548795004,6.98326818953641e-05,7.75918687726268e-05,0.000203259890479559,7.16232634824247e-05,0.000254320346058965,0.0001963863676131,0.000164964548795004,5.01362844376973e-05,0.000183621253718249,0.00015710909409048,0.000443833190805606,0.000208169549669886,0
"Inhib-13",0,0,0,0,0,0,0,0,3.85071309045294e-08,0,0,0.000119562234762882,0.000120354037642107,0.000107685191574517,0.000114019614608312,0.000101350768540721,0.000110852403091414,0.000129855672192799,0,0,0,4.56887108182242e-05,0.000133022883709697,0,0,0,0,0,0,0.000148858941294185,0.000141037180329202,0.000150442547052633,0.000186865479496955,0,0.000136190095226594,0.000285809552356144,0.000136993931584226,2.25074180136974e-05,0.000162319590240999,0,4.04324874497559e-05,9.98297368699925e-05,3.25385256143274e-06,0,0,0.000126688460675902,0,0.000129855672192799,3.21534543052821e-06,3.85071309045294e-08,4.36670864457364e-05,0,4.7710335190712e-05,0.000105309782936843,0.000120354037642107,0.000133022883709697,4.73060103162144e-05,0.00010293437429917,0.000163903195999448,0,0.000205105826067294,0.000158360575844877,0.000133022883709697,0,0.00014806713841496,0.000126688460675902,0.000363334033649687,0.00016786221039557,0
"Inhib-14",6.4178551507549e-08,0,6.4178551507549e-08,6.4178551507549e-08,6.4178551507549e-08,6.4178551507549e-08,5.8503563090494e-05,6.4178551507549e-08,6.92037320905901e-05,6.4178551507549e-08,6.4178551507549e-08,0.000207208475861061,0.000208580292399534,0.000186823763438475,0.000197605760091744,0.000175656695476162,0.000192118493937848,0.000225042090861221,6.4178551507549e-08,6.92037320905901e-05,7.10424475912814e-05,0.000150920677261365,0.000230978606875669,6.59113723982529e-05,0.000133459297859948,0.000138728356938718,0.000133395119308441,7.59168085782798e-05,3.20892757537745e-07,0.000258350759093639,0.000244407968778624,0.000260901856516064,0.000324005417285861,6.92037320905901e-05,0.000236209158823534,0.000494239025159635,0.000237709332465023,0.00013419414227471,0.000281479104593172,7.02193576681971e-05,0.000133395119308441,0.000172977240950722,7.39320868729088e-05,6.92037320905901e-05,0.000149394832199273,0.000219619003258833,0.000138856714041733,0.000225234626515743,5.55144470540299e-06,6.4178551507549e-08,0.000144254130223518,4.95137524880741e-05,0.000157587224299211,0.000182644135271546,0.000208772828054057,0.000230721892669639,0.000156061379237119,0.000178400328553109,0.000284222737670119,0.000160189664562842,0.000355685554773775,0.000274620021900802,0.000230721892669639,6.92037320905901e-05,0.000256577826608243,0.00021968318181034,0.000620381968147723,0.000291081820362489,6.27473698089307e-05
"Inhib-15",0,0,0,0,0,0,5.46801258844318e-05,0,6.46919799196094e-05,0,0,0.00017007637042258,0.000171202704001538,0.000153181366738218,0.000162192035369878,9.85782551155953e-05,0.000157686701054048,0.000184718706949028,0,6.46919799196094e-05,6.62322651557906e-05,8.70261158442365e-05,0.000189224041264858,6.16114094472471e-05,7.70142618090588e-05,8.00948322814212e-05,7.70142618090588e-05,7.08531208643341e-05,0,0.000217180218301546,0.00020071841983986,0.000219490646155818,0.000272630486804068,6.46919799196094e-05,0.000193729375580688,0.000415877013768918,0.000194884589507823,0.000121682533658313,0.000230898383686285,6.54621225377e-05,7.70142618090588e-05,9.78081124975047e-05,6.85426930100624e-05,6.46919799196094e-05,8.62559732261459e-05,0.000180213372633198,8.00948322814212e-05,0.000184718706949028,4.77488423216165e-05,0,8.31754027537835e-05,4.62085570854353e-05,9.08768289346894e-05,0.000102428968206048,0.000171202704001538,0.000189224041264858,9.01066863165988e-05,0.000100118540351776,0.000239129282917128,9.24171141708706e-05,0.000299200407128194,0.000231042785427177,0.000194075939758828,6.46919799196094e-05,0.00021062437926505,0.000180213372633198,0.000522156695065419,0.000244905352552807,5.85308389748847e-05
"Inhib-16",0,0,0,0,0,0,4.47693530678785e-05,0,5.29665585591802e-05,0,0,0.000158447216889412,0.000159496536206561,0.000142707427132186,0.000151101981669373,0.000134312872594999,0.00014690470440078,0.000172088368012342,0,5.29665585591802e-05,5.42276670963036e-05,0.000118573082837772,0.000176285645280936,5.04443414849335e-05,6.30554268561669e-05,6.55776439304136e-05,6.30554268561669e-05,5.80109927076736e-05,0,0.000202701537081443,0.000187009881237847,0.000204857936412097,0.00025445512101713,5.29665585591802e-05,0.000180482922549529,0.000388151879517657,0.000186528542101541,0.000103333885782305,0.000221030931391999,5.35971128277419e-05,6.30554268561669e-05,0.000132271994657059,5.66488029519259e-05,5.29665585591802e-05,0.000117523763520624,0.000167891090743748,6.55776439304136e-05,0.000172088368012342,4.3127986613073e-06,0,0.00011332648625203,0,0.000123819679423514,0.000139559469180741,0.000159496536206561,0.000181137543774906,7.37748494217153e-05,0.000136411511229296,0.000223187330722653,7.56665122274003e-05,0.000279253713319647,0.000215639933065365,0.000176285645280936,5.29665585591802e-05,0.000196222712306756,0.000167891090743748,0.000487346248727724,0.000228578329049287,0
"Inhib-17",0,4.52843859437266e-05,0,0,0,0,6.69831542084289e-05,0,7.92476754015216e-05,0,0,0.00020641747521373,0.000207784478360841,0.000185912428007068,0.000196848453183954,0.000174976402830182,0.000191380440595511,0.00022418851612617,4.52843859437266e-05,7.92476754015216e-05,8.11345248158435e-05,0.00015447135562352,0.000229656528714613,7.54739765728777e-05,9.43424707160971e-05,9.8116169544741e-05,9.43424707160971e-05,8.67950730588093e-05,0,0.000262426097114368,0.000243557602971149,0.000265217864104946,0.000329428504888249,7.92476754015216e-05,0.000240091961189741,0.000502518058304109,0.00024148784468503,0.00014852200389877,0.000286156116534284,8.01911001086825e-05,9.43424707160971e-05,0.000172300157232317,8.38877846755174e-05,7.92476754015216e-05,0.000153104352476409,0.000218720503537727,9.8116169544741e-05,0.00022418851612617,5.84153175821711e-05,5.28317836010144e-05,0.000101889868373385,5.66054824296583e-05,0.000161306371359074,0.000181811418565736,0.000207784478360841,0.000229656528714613,0.000159939368211963,0.000177710409124403,0.000288947883524863,0.000113210964859317,0.000361533825279901,0.000279176699057838,0.000234508427208584,7.92476754015216e-05,0.000255629588509719,0.000218720503537727,0.000630939339870715,0.000295927301001309,7.17002777442338e-05
"Inhib-18",0,0,0,0,0,0,4.93829886893775e-05,0,5.84249443648973e-05,0,0,0.000158810627937324,0.000159862353950154,0.000143034737744875,0.000151448545847514,8.9028486651272e-05,0.000147241641796194,0.000172483066104113,0,5.84249443648973e-05,5.98160144688234e-05,7.85954608718261e-05,0.000176689970155433,5.5642804157045e-05,6.95535051963063e-05,7.23356454041585e-05,6.95535051963063e-05,6.39892247806018e-05,0,0.000203153995869571,0.00018743827306916,0.000205315208591588,0.000255023101197972,5.84249443648973e-05,0.000185864294093437,0.000389018289963009,0.000186944900454446,0.000110939044135949,0.000221524304006713,5.91204794168603e-05,6.95535051963063e-05,8.84075591654365e-05,6.20518347569676e-05,5.84249443648973e-05,7.7899925819863e-05,0.000168276162052794,7.23356454041585e-05,0.000172483066104113,4.32242544403343e-06,0,7.51177856120108e-05,0,8.20731361316414e-05,0.000139879559706385,0.000159862353950154,0.000181541868649404,8.13776010796783e-05,9.04195567551982e-05,0.00022368551672873,8.34642062355675e-05,0.000279877047501164,0.000216121272201671,0.000181541868649404,5.84249443648973e-05,0.000196672764399202,0.000168276162052794,0.000488434075175777,0.000229088548533772,5.28606639491928e-05
"Inhib-19",0,0,0,0,0,0,6.11733908332081e-05,0,7.23741525350631e-05,0,0,0.000194061499584739,0.000195346675078678,0.000174783867175659,0.000185065271127168,0.00016450246322415,0.000179924569151414,0.000210768781005942,0,7.23741525350631e-05,7.40973466430407e-05,9.73604671007396e-05,0.000215909482981696,6.89277643191077e-05,8.61597053988846e-05,8.960609361484e-05,8.61597053988846e-05,7.92669289669738e-05,0,0.00024161299286047,0.000228838252182892,0.000244183343848347,0.000303301416569526,7.23741525350631e-05,0.000221050184957451,0.000463240784781489,0.000222344987234116,0.000136199722009321,0.000263460976257427,7.32357495890519e-05,8.61597053988846e-05,0.000161951365801725,7.66917645877334e-05,7.23741525350631e-05,9.64988700467507e-05,0.000205628079030187,8.960609361484e-05,0.000210768781005942,5.34286441300346e-05,4.82494350233754e-05,9.30524818307954e-05,5.16958232393308e-05,0.000151650708284763,0.000170928340693843,0.000195346675078678,0.000215909482981696,0.000100806855316695,0.00011200761701855,0.000266031327245305,0.000103391646478662,0.000332860452930115,0.000257035098787734,0.000215909482981696,7.23741525350631e-05,0.000240327817366531,0.000205628079030187,0.000580937830391183,0.000272457204714998,6.54813761031523e-05
"Inhib-20",0,5.40640117899593e-05,5.40640117899593e-05,0,0,4.50533431582994e-05,7.99696841059815e-05,0,9.46120206324288e-05,0,4.50533431582994e-05,0.00025002680096311,0.000251682607592004,0.000225189701529688,0.000238436154560846,0.00020701433574275,0.000231812928045267,0.000271552287138742,5.40640117899593e-05,9.46120206324288e-05,9.68646877903438e-05,0.000182754843272897,0.000278175513654321,9.01066863165989e-05,0.000112633357895749,0.000168199147790985,0.000161729949799024,0.000103622689264089,7.43380162111941e-05,0.000311291646232216,0.000294733579943268,0.000314603259490005,0.000390770364419165,9.46120206324288e-05,0.0002847987401699,0.000596090386402116,0.000286454546798794,0.000177017280768122,0.000339440358923427,9.57383542113863e-05,0.000161729949799024,0.00020863163524074,0.00010010891356905,9.46120206324288e-05,0.000181137543774906,0.000264929060623162,0.000168199147790985,0.000271552287138742,6.96979069371983e-05,6.30746804216192e-05,0.000174668345782945,6.75800147374491e-05,0.000190841340762848,0.000220222281643004,0.000251682607592004,0.000278175513654321,0.000189224041264858,0.000210248934738731,0.000342751972181216,0.000194075939758828,0.000428853916883744,0.000331161325778953,0.000278175513654321,9.46120206324288e-05,0.000309635839603321,0.000264929060623162,0.000748424596260434,0.00035103100532569,8.56013520007689e-05
"Inhib-21",0,0,0,0,0,0,5.05791164430994e-05,0,5.98400814256387e-05,0,0,0.000107569670181803,0.000165349620104049,9.6883941355796e-05,0.000156647008519626,9.11848859819257e-05,9.97334690427312e-05,0.000178403537480685,0,5.98400814256387e-05,6.12648452691063e-05,8.04991571559188e-05,0.000182754843272897,5.69905537387035e-05,7.12381921733794e-05,7.40877198603146e-05,7.12381921733794e-05,6.55391367995091e-05,0,0.000204511372233956,0.000193710122015235,0.000206687025130062,0.000256727041740498,5.98400814256387e-05,0.000187106149065108,0.000392195128262632,0.000188203602295888,0.000113364993382935,0.000223004421850856,6.05524633473725e-05,7.12381921733794e-05,9.05302647565487e-05,6.35175124270213e-05,5.98400814256387e-05,7.9786775234185e-05,0.000174052231688473,7.40877198603146e-05,0.000178403537480685,4.38981292311635e-06,0,7.69372475472498e-05,0,8.40610667645877e-05,9.47467955905947e-05,0.000165349620104049,0.000182754843272897,8.33486848428539e-05,9.26096498253933e-05,0.000225180074746962,8.54858306080553e-05,0.000281747050045716,0.000217565289610591,0.000182754843272897,5.98400814256387e-05,0.000203423545785903,0.000174052231688473,0.000491736061650841,0.000230619206987227,5.41410260517684e-05
"Inhib-22",0,6.46919799196094e-05,6.46919799196094e-05,0,0,5.39099832663412e-05,0.000142680953479689,0,0.000168805635102731,0,5.39099832663412e-05,0.000309262801772683,0.000311310899797668,0.000278541331397914,0.000294926115597791,0.000262156547198036,0.000286733723497852,0.000335888076097484,6.46919799196094e-05,0.000168805635102731,0.000172824816890891,0.000227083771031055,0.000344080468197423,0.00016076727152641,0.000200959089408013,0.000208997452984333,0.000200959089408013,0.000184882362255372,8.8951472389463e-05,0.000385042428697116,0.000364561448447269,0.000389138624747085,0.000483351133896379,0.000168805635102731,0.000352272860297361,0.000737315288994477,0.000354320958322346,0.000290459288412865,0.000419860095121855,0.000170815225996811,0.000200959089408013,0.000253285466915905,0.000174988436308589,0.000168805635102731,0.000225074180136974,0.000327695683997545,0.000208997452984333,0.000335888076097484,8.36663686728163e-05,7.54739765728777e-05,0.000217035816560654,8.08649748995118e-05,0.000237131725501455,0.00027239703732296,0.000311310899797668,0.000344080468197423,0.000235122134607375,0.000261246816230417,0.000423956291171824,0.000241150907289616,0.000530457388471027,0.000409619604996932,0.000344080468197423,0.000168805635102731,0.000382994330672131,0.000327695683997545,0.000925740307293066,0.000434196781296748,0.000102428968206048
"Inhib-23",0,4.75948137979984e-05,4.75948137979984e-05,0,0,0,7.04006620762059e-05,0,8.32909241464971e-05,0,0,0.000223861205513482,0.000225343730053306,0.000201623337416116,0.000213483533734711,0.000189763141097521,0.000207553435575414,0.000243134024531199,4.75948137979984e-05,8.32909241464971e-05,8.52740413880804e-05,0.000163173967207943,0.000249064122690496,7.93246896633306e-05,9.91558620791633e-05,0.000150177810527665,9.91558620791633e-05,9.12233931128302e-05,6.54428689722478e-05,0.000278714613486984,0.00026388936808874,0.000281679662566633,0.000349875791398554,8.32909241464971e-05,0.000254994220849794,0.000533708834336778,0.000256476745389618,0.000156531487126912,0.000303917530663998,8.42824827672888e-05,9.91558620791633e-05,0.000182023207785711,8.82294636850031e-05,8.32909241464971e-05,0.000161729949799024,0.000237203926371901,0.00010312209656233,0.000243134024531199,6.1457380923629e-05,5.55272827643314e-05,0.000155953880163344,5.9493517247498e-05,0.000170394054252543,0.000197175763796643,0.000225343730053306,0.000249064122690496,0.000168950036843623,0.00019272819017717,0.000306882579743647,0.000118987034494996,0.000383973855814515,0.000296504907964877,0.000249064122690496,8.32909241464971e-05,0.00027723208894716,0.000237203926371901,0.000670101092000621,0.000314295202442769,7.53584551801641e-05
"Inhib-24",0,0,0,0,0,0,5.05791164430994e-05,0,0.000108359066365346,0,0,0.000200602898447146,0.000201931394463352,0.000180675458204052,0.000191303426333702,0.000165118577318622,0.000185989442268877,0.000217873346657828,0,5.98400814256387e-05,0.000110939044135949,0.000145768744039096,0.000223187330722653,5.69905537387035e-05,0.000128998888530174,0.00013415884407138,0.000128998888530174,6.55391367995091e-05,0,0.000249757251046778,0.000236472290884715,0.00025241424307919,0.000313525059824679,5.98400814256387e-05,0.000228501314787478,0.000478258565834255,0.000229829810803684,0.000119834191374896,0.000272341683322284,0.000109649055250648,0.000128998888530174,0.000162615613809828,6.444168356873e-05,5.98400814256387e-05,0.000144478755153794,0.000212559362593002,0.00013415884407138,0.000217873346657828,5.31398406482506e-06,0,0.000139318799612587,0,0.000152218688465605,0.000176689970155433,0.000201931394463352,0.000223187330722653,0.000150928699580303,0.000167698555089226,0.000274998675354697,0.000154798666236208,0.000344080468197423,0.000265699203241253,0.000223187330722653,5.98400814256387e-05,0.000248428755030572,0.000212559362593002,0.000600480199325232,0.000281641155435728,5.41410260517684e-05
"Inhib-25",0,0,0,0,0,0,5.12626180166548e-05,0,6.06487311746338e-05,0,0,0.000109023314373449,0.000109745323077909,9.819318380655e-05,0.000103969253442229,9.24171141708706e-05,0.00010108121862439,0.000118409427531428,0,6.06487311746338e-05,6.20927485835537e-05,8.15869836039717e-05,0.000121297462349268,5.77606963567941e-05,7.22008704459926e-05,7.50889052638324e-05,7.22008704459926e-05,6.64248008103133e-05,0,0.000135737636438466,0.000130827977248139,0.000190225226668375,0.000236279755230193,6.06487311746338e-05,0.000124185497167107,0.000361004352229963,0.000125196309353351,0.000112055750932181,0.000205243007721142,6.13707398790938e-05,7.22008704459926e-05,9.15507037255187e-05,6.39699712151495e-05,6.06487311746338e-05,8.08649748995118e-05,0.000115521392713588,7.50889052638324e-05,0.000118409427531428,4.04324874497559e-06,0,7.79769400816721e-05,0,8.51970271262713e-05,9.60271576931703e-05,0.000109745323077909,0.000121297462349268,8.44750184218114e-05,9.38611315797905e-05,0.000207245378528177,8.66410445351912e-05,0.000259307019511101,0.000200237080703553,0.000121297462349268,6.06487311746338e-05,0.000135015627734006,0.000115521392713588,0.000452574309520934,0.000212251305545766,0
"Inhib-26",0,0,0,0,0,0,0,0,0,0,0,0.000175527536141253,0.000176689970155433,0.00015285405612553,0.000167390498041989,0.000143862641059322,0.000162740761985267,0.000190639178325599,0,0,0,7.28843720195481e-05,0.000195288914382321,0,0,6.70794220356902e-05,6.44994442650868e-05,0,0,0.000218537594665931,0.000206913254524126,0.000220862462694292,0.000274334427346594,0,0.000199938650439043,0.000418476245104974,0.000201101084453223,3.25481523970535e-05,0.000238298972906999,0,6.44994442650868e-05,8.23041789170686e-05,4.64973605672193e-06,0,7.22393775768972e-05,0.000185989442268877,6.70794220356902e-05,0.000190639178325599,4.64973605672193e-06,0,6.96593998062937e-05,0,7.61093442328024e-05,0.000149482275475702,0.000176689970155433,0.000195288914382321,0.000131499445343286,8.38492775446128e-05,0.00024062384093536,7.73993331181041e-05,0.000301070409672745,0.000232486802836096,0.000195288914382321,0,0.00021737516065175,0.000185989442268877,0.000525420174409578,0.000246436011006262,0
"Inhib-27",0,0,0,0,0,0,5.80976337522088e-05,0,6.8735228664585e-05,0,0,0.000190427389105624,0.000191688497642747,0.000171510761048774,0.000181599629345761,0.000161421892751787,0.000176555195197267,0.000206821800088228,0,6.8735228664585e-05,7.03717817280275e-05,0.000138153958902725,0.000211866234236721,6.54621225377e-05,8.1827653172125e-05,8.510075929901e-05,8.1827653172125e-05,7.5281440918355e-05,0,0.000237088404979188,0.000224477319607954,0.000239610622053434,0.000297621614761108,6.8735228664585e-05,0.000216910668385214,0.000453999073364402,0.000218171776922338,0.000130231116719118,0.000258527250110284,6.95535051963063e-05,8.1827653172125e-05,0.000154124791445379,7.29613862813571e-05,6.8735228664585e-05,0.000136931357496507,0.000201777365939734,8.510075929901e-05,0.000206821800088228,5.04443414849335e-06,4.582348577639e-05,8.8373865425895e-05,4.9096591903275e-05,9.65566307431075e-05,0.000167727435437404,0.000191688497642747,0.000211866234236721,9.57383542113863e-05,0.000158938182808445,0.000261049467184531,9.819318380655e-05,0.000326627111114945,0.000252221707424668,0.000211866234236721,6.8735228664585e-05,0.000235827296442064,0.000201777365939734,0.000570021058779749,0.000267355009870148,6.2189016410815e-05
"MN-alpha",0,0,0,0,0,0,7.17676652233167e-05,0,8.49082236444874e-05,0,0,0.000223861205513482,0.000225343730053306,0.000201623337416116,0.000213483533734711,0.000189763141097521,0.000207553435575414,0.000243134024531199,0,8.49082236444874e-05,8.69298480169752e-05,0.000167525273000155,0.000249064122690496,8.08649748995118e-05,0.000148252453982438,0.000154182552141736,0.000148252453982438,9.29947211344386e-05,6.09952953527746e-05,0.000278714613486984,0.00026388936808874,0.000281679662566633,0.000349875791398554,8.49082236444874e-05,0.000254994220849794,0.000533708834336778,0.000256476745389618,0.000158764900719375,0.000303917530663998,8.59190358307313e-05,0.000148252453982438,0.000186798092017872,8.9827509617541e-05,8.49082236444874e-05,0.000166042748460331,0.000237203926371901,0.000154182552141736,0.000243134024531199,5.76836820949851e-05,5.17535839356875e-05,0.000160112650301033,6.06487311746338e-05,0.000174937895699277,0.000197175763796643,0.000225343730053306,0.000249064122690496,0.000173455371159453,0.00019272819017717,0.000306882579743647,0.000177902944778926,0.000383973855814515,0.000296504907964877,0.000249064122690496,8.49082236444874e-05,0.00027723208894716,0.000237203926371901,0.000670101092000621,0.000314295202442769,7.68217261545362e-05
"MN-gamma",0,0,0,0,0,0,0,0,5.39773707454241e-05,0,0,0.000102845326558953,0.000103526421436827,9.26289033908455e-05,9.80776624138364e-05,8.71801443678546e-05,9.5353282902341e-05,0.000111699559971314,0,5.39773707454241e-05,5.52625462393628e-05,7.26124154075348e-05,0.000114423939482809,5.14070197575468e-05,6.42587746969335e-05,6.68291256848108e-05,6.42587746969335e-05,5.91180727211788e-05,0,0.000128045837040286,0.000123083230544965,0.000129408026796034,0.000215264488539046,0,0.000117148318994305,0.000328369558788375,0.000118060456657606,0.000100080033220872,0.000139624449964142,5.46199584923935e-05,6.42587746969335e-05,8.62800401829612e-05,3.64855065320416e-06,5.39773707454241e-05,7.19698276605655e-05,0.000108975180459818,6.68291256848108e-05,0.000111699559971314,3.64855065320416e-06,0,6.93994766726882e-05,0,7.58253541423815e-05,9.0585618757224e-05,0.000103526421436827,0.000114423939482809,7.51827663954122e-05,8.35364071060135e-05,0.00014098663971989,7.71105296363202e-05,0.00023624365479497,0.000136218975574773,0.000114423939482809,0,0.000127364742162413,0.000108975180459818,0.00041228622381207,0.000144392114109259,0
"PGC",1.28357103015098e-08,0,1.28357103015098e-08,1.28357103015098e-08,1.28357103015098e-08,1.28357103015098e-08,1.28357103015098e-08,1.28357103015098e-08,1.28357103015098e-08,1.28357103015098e-08,1.28357103015098e-08,7.12414011009548e-05,7.17131134545353e-05,6.42042229281521e-05,6.79394146258914e-05,5.54631042128239e-05,6.60525652115695e-05,7.73736616975011e-05,1.28357103015098e-08,1.28357103015098e-08,5.13428412060392e-08,5.13428412060392e-08,7.93503610839336e-05,1.28357103015098e-08,2.56714206030196e-08,1.28357103015098e-08,1.28357103015098e-08,3.85071309045294e-08,6.41785515075491e-08,8.87717724452418e-05,8.56270234213719e-05,8.96766900214983e-05,0.000111375458286201,1.28357103015098e-08,8.11858676570495e-05,0.000242671938960344,8.18854138684818e-05,1.89294637671516e-05,9.67523753252056e-05,5.13428412060392e-08,1.28357103015098e-08,1.37342100226155e-06,2.72117058392008e-06,1.28357103015098e-08,1.28357103015098e-08,7.54996479934807e-05,3.85071309045294e-08,7.74121688284057e-05,2.70833487361857e-06,1.28357103015098e-08,5.13428412060392e-08,2.56714206030196e-08,5.11695591169688e-05,6.27762501571091e-05,7.17516205854398e-05,7.92990182427276e-05,1.28357103015098e-08,1.28357103015098e-08,9.76958000323665e-05,3.85071309045294e-08,0.000122250513839155,9.43938135573031e-05,7.92990182427276e-05,1.28357103015098e-08,8.82198369022769e-05,7.55124837037822e-05,0.000304655584006335,0.000100054361800269,3.85071309045294e-08
